EmployeeID,Name,Department,Salary,Age,Work_Experience
E001,Employee_1,HR,96415,39,33
E002,Employee_2,HR,49337,58,13
E003,Employee_3,Sales,96175,58,6
E004,Employee_4,Marketing,91659,58,29
E005,Employee_5,IT,65380,32,1
E006,Employee_6,Marketing,51385,33,11
E007,Employee_7,Sales,76525,51,1
E008,Employee_8,Finance,70651,41,35
E009,Employee_9,HR,53175,25,20
E010,Employee_10,IT,96508,28,15
E011,Employee_11,Sales,30122,24,8
E012,Employee_12,IT,65587,37,27
E013,Employee_13,Marketing,46134,32,26
E014,Employee_14,Marketing,84048,51,25
E015,Employee_15,HR,52353,22,7
E016,Employee_16,Finance,54523,55,20
E017,Employee_17,Marketing,90452,58,36
E018,Employee_18,HR,58072,41,23
E019,Employee_19,Marketing,53189,36,3
E020,Employee_20,Sales,88406,56,8
E021,Employee_21,IT,55681,59,33
E022,Employee_22,HR,90759,36,31
E023,Employee_23,Sales,72220,38,17
E024,Employee_24,Finance,31402,29,8
E025,Employee_25,Marketing,39309,43,5
E026,Employee_26,Marketing,31408,35,31
E027,Employee_27,HR,98547,46,39
E028,Employee_28,Marketing,99357,53,38
E029,Employee_29,Finance,69067,38,36
E030,Employee_30,HR,92615,57,20
E031,Employee_31,Finance,74634,42,16
E032,Employee_32,Marketing,37166,53,38
E033,Employee_33,Sales,97739,28,28
E034,Employee_34,Marketing,69116,27,9
E035,Employee_35,Sales,76451,42,30
E036,Employee_36,Finance,38943,26,36
E037,Employee_37,Finance,31013,48,10
E038,Employee_38,IT,86743,51,31
E039,Employee_39,Marketing,34086,47,19
E040,Employee_40,Sales,66765,52,3
E041,Employee_41,Marketing,60290,40,31
E042,Employee_42,Finance,52406,57,4
E043,Employee_43,Finance,63593,51,25
E044,Employee_44,Sales,98107,43,22
E045,Employee_45,Finance,76853,29,25
E046,Employee_46,Marketing,54343,27,15
E047,Employee_47,Finance,36536,47,37
E048,Employee_48,Finance,71415,60,7
E049,Employee_49,Marketing,95095,23,40
E050,Employee_50,Marketing,76821,37,15
E051,Employee_51,Finance,42215,34,33
E052,Employee_52,IT,53392,51,2
E053,Employee_53,HR,68472,39,28
E054,Employee_54,Finance,81445,51,40
E055,Employee_55,Finance,47824,47,2
E056,Employee_56,Marketing,95759,41,4
E057,Employee_57,IT,39013,44,20
E058,Employee_58,HR,56945,28,15
E059,Employee_59,Finance,41291,32,39
E060,Employee_60,Finance,62401,54,38
E061,Employee_61,Sales,59949,55,14
E062,Employee_62,IT,43840,54,40
E063,Employee_63,Marketing,48439,60,33
E064,Employee_64,HR,83999,49,34
E065,Employee_65,Marketing,83795,22,7
E066,Employee_66,Marketing,58634,22,21
E067,Employee_67,Sales,76322,26,29
E068,Employee_68,Finance,36262,26,36
E069,Employee_69,Sales,86341,58,34
E070,Employee_70,Marketing,64825,59,13
E071,Employee_71,HR,70068,31,37
E072,Employee_72,HR,74420,44,9
E073,Employee_73,HR,48108,37,11
E074,Employee_74,Finance,51298,50,23
E075,Employee_75,IT,97057,22,39
E076,Employee_76,Marketing,84705,49,27
E077,Employee_77,Sales,69113,22,30
E078,Employee_78,Sales,47249,60,33
E079,Employee_79,IT,75424,38,16
E080,Employee_80,HR,74542,35,28
E081,Employee_81,HR,31526,55,19
E082,Employee_82,Marketing,79409,46,19
E083,Employee_83,Finance,74819,36,34
E084,Employee_84,HR,92849,35,34
E085,Employee_85,Sales,92159,56,13
E086,Employee_86,IT,39099,57,8
E087,Employee_87,Finance,50730,58,25
E088,Employee_88,HR,43682,26,39
E089,Employee_89,Finance,55890,51,1
E090,Employee_90,Finance,39614,26,8
E091,Employee_91,IT,54710,38,8
E092,Employee_92,IT,79436,56,14
E093,Employee_93,HR,92975,44,37
E094,Employee_94,IT,36234,38,33
E095,Employee_95,IT,86104,57,12
E096,Employee_96,Marketing,59711,58,22
E097,Employee_97,IT,85085,43,35
E098,Employee_98,Marketing,80064,39,38
E099,Employee_99,Marketing,58340,43,7
E100,Employee_100,Sales,36512,28,18
E101,Employee_101,Marketing,70134,45,15
E102,Employee_102,Marketing,91617,45,30
E103,Employee_103,IT,71444,42,26
E104,Employee_104,HR,31548,29,28
E105,Employee_105,HR,63419,59,3
E106,Employee_106,Finance,47242,25,22
E107,Employee_107,IT,98314,54,27
E108,Employee_108,Marketing,96065,36,7
E109,Employee_109,Finance,82175,31,7
E110,Employee_110,HR,78197,57,4
E111,Employee_111,HR,59717,37,24
E112,Employee_112,Marketing,36304,32,39
E113,Employee_113,HR,78054,52,14
E114,Employee_114,Sales,84869,48,11
E115,Employee_115,IT,90423,45,22
E116,Employee_116,Finance,86053,56,9
E117,Employee_117,Finance,96161,58,31
E118,Employee_118,Marketing,93391,30,19
E119,Employee_119,IT,69509,47,22
E120,Employee_120,IT,98133,38,31
E121,Employee_121,Finance,37960,26,36
E122,Employee_122,Finance,94081,42,14
E123,Employee_123,Sales,81848,52,37
E124,Employee_124,HR,91155,57,35
E125,Employee_125,Sales,52497,45,23
E126,Employee_126,Sales,74485,51,31
